type,sender,to,approveAmount,transferAmount,transferFromAmount,oldApproveState,newApproveState,oldBalanceState,newBalanceState,success
transferFrom,0xa4c9a75fee195537bb69a7a176d308af348a4333,0xdd39328a2ffe0c7bc368cc00429f3cecd58a277d,0,0,2470000000.0,2470000000.0,0.0,7050000000.0,4580000000.0,True
transfer,0x6b95f1248f1dd0b27bf3b8cc7fa42bcb4c055807,0x5e27253b2799b0ab9e34683a31493ea8bddf2c0d,0,2030000000.0,0,5350000000.0,5350000000.0,13660000000.0,11630000000.0,True
transferFrom,0x29cf0fd60915fb5e1a5580f37ccafb7943f0724a,0x32e056bc2befccd905228ce145503b0021564e25,0,0,8390000000.0,8570000000.0,180000000.0,14520000000.0,6130000000.0,True
transferFrom,0x34572c56ae4fffa97c82cdf4659d07887ce21e8a,0x8efea814f08197f9916fc015ac1906f7b85f6070,0,0,9700000000.0,9430000000.0,9430000000.0,13810000000.0,13810000000.0,False
approve,0x5164d5783e6ee3b1a56e89a811c64be212a8dd56,0x6209db592f07fe1b29f7d16be6ede2b5f6776d94,4620000000.0,0,0,7970000000.0,12590000000.0,13930000000.0,13930000000.0,True
transferFrom,0x7d0b81b2cc8aad34e70c0b3f7ec425d93eddc6c9,0x26f89a4db6e781366a857982dc760c92bf258c49,0,0,1900000000.0,7900000000.0,6000000000.0,13040000000.0,11140000000.0,True
transferFrom,0x6c64d6144fb5ef52c6a7159af82ac56b930ed89a,0xd5e4e73682c1cf991870336faf21faefdee7789b,0,0,6440000000.0,7480000000.0,1040000000.0,14220000000.0,7780000000.0,True
transfer,0x09e6a06eb3d42ef3e9f6c85afe186485c69b5272,0x9849589d96aa5f3fa040e4d23032a3e405e2ab7d,0,8550000000.0,0,5560000000.0,5560000000.0,7530000000.0,7530000000.0,True
approve,0x97860e320fc0f9f50bf66b7f72f5b62ec31db055,0x93a2513284b9ced7b19f63a3b03824e9bc66561d,8860000000.0,0,0,8000000000.0,16860000000.0,10500000000.0,10500000000.0,True
transfer,0x60e517e5c059dc7ce37b7d7523241059c737a8f0,0x7c55e7ae622e9dd643e0eb7dbd0ca5f98ee30c3c,0,1530000000.0,0,7560000000.0,7560000000.0,6340000000.0,4810000000.0,True
transfer,0xe7a9fa9f9d2b17406f5ee7599c9ee9435963e54c,0x98b9247d7ed262c7fbdcf94901730f87e009fc8f,0,2110000000.0,0,6790000000.0,6790000000.0,9110000000.0,7000000000.0,True
transferFrom,0xcd5302764fb65780194063c2db6c32daca6bbe51,0x1fbb8a57b30dde91b50198dbec052c00194cd62f,0,0,8330000000.0,7610000000.0,7610000000.0,12340000000.0,12340000000.0,False
transferFrom,0xa3d5a9b486e50c0740d4e9f04516d968cd859ba0,0xaf23ea130ce9b5c66a3b94551d6bd23c9ec214c5,0,0,4320000000.0,5940000000.0,1620000000.0,5570000000.0,1250000000.0,True
transferFrom,0x4abafe664d6dbca6789a7cfc73acb15efc0b4bf6,0xf83fdea1ac9dde9ea30e67442497e2d1b71db8b5,0,0,7660000000.0,8590000000.0,930000000.0,14090000000.0,6430000000.0,True
transferFrom,0xdeefa65b2ddff91f73f7b23e96097b927a7a34af,0xf18cc8385d65920edd3097b3d56cfad3ffbebe21,0,0,8680000000.0,7630000000.0,7630000000.0,5860000000.0,5860000000.0,False
approve,0x19f89e104be3f8a481b8cb0c5beb510069e4d93d,0xf8adb52c0fe11ff5c5dd63f75c86d34ec6771dd3,2980000000.0,0,0,5570000000.0,8550000000.0,12820000000.0,12820000000.0,True
transfer,0xcfe4ad06c9d293e7f662643be0b5186984cd24ce,0x60c0a63946d2c189ac91ca2c32fef121099debdb,0,4420000000.0,0,5500000000.0,5500000000.0,7150000000.0,2730000000.0,True
transfer,0x906cb2362e0562ff04444491d72a00b820efde4e,0xed8b4762c5640579819ff3e0cd8bde653512766d,0,1920000000.0,0,9360000000.0,9360000000.0,14460000000.0,12540000000.0,True
approve,0xd846ac828126edce1ff3eb4f53dc84295f5a2a72,0x65506b5a6e296cdd7ee948f0eab584dc368078cf,420000000.0,0,0,9140000000.0,9560000000.0,6740000000.0,6740000000.0,True
transferFrom,0xa16f63a1d0ba6e37bf0a5631176f5472f3716acd,0x5e91161118ea2bb2e12e9e84d2301259281b47d0,0,0,8630000000.0,6190000000.0,6190000000.0,13490000000.0,13490000000.0,False
transfer,0xb058fbea60ad8ad7a7d3e83060a7ead9ddff5998,0x53a274be44f4fa1378094e76aa90557265383aa4,0,2800000000.0,0,5530000000.0,5530000000.0,12970000000.0,10170000000.0,True
transferFrom,0xb73d316f186e670bd8365eaf8954367a675a50d4,0xd30053f78c7ab363b0a8e55011a9bc6c64c4bc48,0,0,6820000000.0,6170000000.0,6170000000.0,14800000000.0,14800000000.0,False
transferFrom,0x66d5acd9c27f9564d1c5e3a8325e35cac14fe089,0x4b22b65f0fec9d40b3c14e241558c99d06c78ed0,0,0,870000000.0,5800000000.0,4930000000.0,10260000000.0,9390000000.0,True
transfer,0x5ea1d15cc65ccb55f7d7e443e2993ca85740f646,0x133f15bcb2d99fbec60c22184fe74563815bc968,0,950000000.0,0,950000000.0,950000000.0,11630000000.0,10680000000.0,True
