type,sender,to,approveAmount,transferAmount,transferFromAmount,oldApproveState,newApproveState,oldBalanceState,newBalanceState,success
approve,0x01b8f2a9508e21588f6e121ef8ca19c70bb17ea8,0x9b54991994f51eb3db1d6b287ab651877ef2d983,4890000000.0,0,0,4890000000.0,9780000000.0,7335000000.0,7335000000.0,True
approve,0xf52692a3547bbae12935b93c9cf84f4d8104fa88,0x44580bf965c4bfe5ab34fa6686e76389a135f672,8910000000.0,0,0,7010000000.0,15920000000.0,13365000000.0,13365000000.0,True
transferFrom,0xde4398358a222b99e3b2f4a1e521465eeca722cd,0xab72da423aae0c29abe4142485383dbb89dc139a,0,0,580000000.0,5120000000.0,4540000000.0,870000000.0,290000000.0,True
transferFrom,0xa4a71b225aeb62e6c59a3e6a94828eb07368ad93,0xd0cff5fa669c8ecd631ff00b1c31f9903ad0bee1,0,0,8360000000.0,8770000000.0,8770000000.0,12540000000.0,12540000000.0,False
transfer,0xcc10f7651bad9b9476e9227edd6a6c1e4ff9851e,0xac993164e6f8dc77ed58a50fce9689f27e8a2524,0,6410000000.0,0,7350000000.0,7350000000.0,9615000000.0,3205000000.0,True
transfer,0x7b3af0414f2f1f370bbdd4c73bd2dbbbbb0afee5,0xcec9db51cbc45210361ec2bcc05d2cdbfc66472e,0,8660000000.0,0,5010000000.0,5010000000.0,12990000000.0,4330000000.0,True
transferFrom,0x4779c021f63f377d15b4be2d91d52f4c2ccf38c7,0xe5a8bf40dbafb25da49dd7d17ff26fe4da145995,0,0,7110000000.0,9540000000.0,2430000000.0,10665000000.0,3555000000.0,True
approve,0xb71abc3346f92bf06a2d1ae7a1fdceda45bfbb6d,0xb7d9520543f3cc3ede9146660e73b6d06544900a,2850000000.0,0,0,5020000000.0,7870000000.0,4275000000.0,4275000000.0,True
transferFrom,0x31e404407207be84c68096de7dcfa6f8277a1f7c,0xdc67e8c024bb67a9a0015fd4876296b122701bb1,0,0,7740000000.0,5170000000.0,5170000000.0,11610000000.0,11610000000.0,False
approve,0x9212fee2976700b47ef5e415cb794650855191da,0xc5d7d813c35dd772a466bdf8bcc35d07492f6549,9140000000.0,0,0,8350000000.0,17490000000.0,13710000000.0,13710000000.0,True
transferFrom,0x030eedc3b53a1970c604799c0606ad1727a07fe7,0x298ebfa0c62dab2d69c5132723ae707dc00466fb,0,0,3870000000.0,5080000000.0,1210000000.0,5805000000.0,1935000000.0,True
